NAME,YEAR,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE,NPOPCHG,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene TX 2010,2010,Metropolitan Statistical Area,165252,165252,165642,390,574,391,183,90,118,208,-1
Akron OH 2010,2010,Metropolitan Statistical Area,703200,703207,702967,-240,1830,1591,239,259,-729,-470,-9
Albany GA 2010,2010,Metropolitan Statistical Area,157308,157500,157663,163,540,410,130,19,16,35,-2
Albany OR 2010,2010,Metropolitan Statistical Area,116672,116672,116871,199,369,260,109,13,80,93,-3
Albany-Schenectady-Troy NY 2010,2010,Metropolitan Statistical Area,870716,870720,870954,234,2252,1794,458,536,-737,-201,-23
Albuquerque NM 2010,2010,Metropolitan Statistical Area,887077,887075,889649,2574,2820,1423,1397,222,917,1139,38
Alexandria LA 2010,2010,Metropolitan Statistical Area,153922,153922,154127,205,495,373,122,34,54,88,-5
Allentown-Bethlehem-Easton PA-NJ 2010,2010,Metropolitan Statistical Area,821173,821303,822083,780,2127,1961,166,496,165,661,-47
Altoona PA 2010,2010,Metropolitan Statistical Area,127089,127078,127030,-48,342,389,-47,10,-3,7,-8
Amarillo TX 2010,2010,Metropolitan Statistical Area,251933,251933,252696,763,909,586,323,134,292,426,14
Ames IA 2010,2010,Metropolitan Statistical Area,89542,89542,89596,54,221,86,135,134,-221,-87,6
Anchorage AK 2010,2010,Metropolitan Statistical Area,380821,380821,383120,2299,1450,422,1028,348,886,1234,37
Ann Arbor MI 2010,2010,Metropolitan Statistical Area,344791,345066,345525,459,945,541,404,436,-396,40,15
Anniston-Oxford-Jacksonville AL 2010,2010,Metropolitan Statistical Area,118572,118586,118443,-143,323,311,12,6,-157,-151,-4
Appleton WI 2010,2010,Metropolitan Statistical Area,225666,225666,225850,184,655,363,292,42,-149,-107,-1
Asheville NC 2010,2010,Metropolitan Statistical Area,424858,424859,425465,606,1079,1135,-56,87,560,647,15
Athens-Clarke County GA 2010,2010,Metropolitan Statistical Area,192541,192541,193476,935,623,349,274,103,524,627,34
Atlanta-Sandy Springs-Roswell GA 2010,2010,Metropolitan Statistical Area,5286728,5286727,5304207,17480,18638,7711,10927,3744,2514,6258,295
Atlantic City-Hammonton NJ 2010,2010,Metropolitan Statistical Area,274549,274549,274762,213,802,546,256,351,-384,-33,-10
Auburn-Opelika AL 2010,2010,Metropolitan Statistical Area,140247,140296,140799,503,433,237,196,132,170,302,5
Augusta-Richmond County GA-SC 2010,2010,Metropolitan Statistical Area,564873,564873,566683,1810,1912,1230,682,264,844,1108,20
Austin-Round Rock TX 2010,2010,Metropolitan Statistical Area,1716289,1716303,1727743,11440,6306,1950,4356,1167,5608,6775,309
Bakersfield CA 2010,2010,Metropolitan Statistical Area,839631,839631,841762,2131,3593,1361,2232,325,-444,-119,18
Baltimore-Columbia-Towson MD 2010,2010,Metropolitan Statistical Area,2710489,2710597,2715625,5028,8444,5531,2913,2085,144,2229,-114
Bangor ME 2010,2010,Metropolitan Statistical Area,153923,153920,153831,-89,378,374,4,22,-118,-96,3
Barnstable Town MA 2010,2010,Metropolitan Statistical Area,215888,215888,215903,15,419,707,-288,87,210,297,6
Baton Rouge LA 2010,2010,Metropolitan Statistical Area,802484,802500,804491,1991,2758,1424,1334,302,346,648,9
Battle Creek MI 2010,2010,Metropolitan Statistical Area,136146,136148,135998,-150,385,452,-67,44,-126,-82,-1
Bay City MI 2010,2010,Metropolitan Statistical Area,107771,107771,107695,-76,299,300,-1,5,-77,-72,-3
Beaumont-Port Arthur TX 2010,2010,Metropolitan Statistical Area,403190,403190,403748,558,1395,834,561,121,-97,24,-27
Beckley WV 2010,2010,Metropolitan Statistical Area,124898,124901,124902,1,382,423,-41,23,35,58,-16
Bellingham WA 2010,2010,Metropolitan Statistical Area,201140,201140,201518,378,559,358,201,73,125,198,-21
Bend-Redmond OR 2010,2010,Metropolitan Statistical Area,157733,157733,157828,95,419,372,47,4,81,85,-37
Billings MT 2010,2010,Metropolitan Statistical Area,158934,158934,159338,404,505,392,113,12,275,287,4
Binghamton NY 2010,2010,Metropolitan Statistical Area,251725,251725,251469,-256,637,556,81,113,-447,-334,-3
Birmingham-Hoover AL 2010,2010,Metropolitan Statistical Area,1128047,1128056,1129034,978,3744,2634,1110,292,-445,-153,21
Bismarck ND 2010,2010,Metropolitan Statistical Area,114778,114778,115233,455,378,275,103,5,337,342,10
Blacksburg-Christiansburg-Radford VA 2010,2010,Metropolitan Statistical Area,178237,178254,178512,258,428,273,155,151,-33,118,-15
Bloomington IL 2010,2010,Metropolitan Statistical Area,186133,186133,186421,288,551,344,207,130,-39,91,-10
Bloomington IN 2010,2010,Metropolitan Statistical Area,159549,159542,160107,565,411,307,104,190,257,447,14
Bloomsburg-Berwick PA 2010,2010,Metropolitan Statistical Area,85562,85563,85656,93,218,183,35,22,40,62,-4
Boise City ID 2010,2010,Metropolitan Statistical Area,616561,616561,617923,1362,2122,809,1313,191,-99,92,-43
Boston-Cambridge-Newton MA-NH 2010,2010,Metropolitan Statistical Area,4552402,4552412,4564659,12247,12571,7978,4593,5677,1986,7663,-9
Boston MA 2010,2010,Metropolitan Division,1887792,1887745,1893820,6075,5339,3297,2042,2562,1413,3975,58
Cambridge-Newton-Framingham MA 2010,2010,Metropolitan Division,2246244,2246301,2252330,6029,6309,3918,2391,3050,645,3695,-57
Rockingham County-Strafford County NH 2010,2010,Metropolitan Division,418366,418366,418509,143,923,763,160,65,-72,-7,-10
Boulder CO 2010,2010,Metropolitan Statistical Area,294567,294571,295967,1396,753,347,406,194,750,944,46
Bowling Green KY 2010,2010,Metropolitan Statistical Area,158599,158599,159181,582,477,212,265,95,218,313,4
Bremerton-Silverdale WA 2010,2010,Metropolitan Statistical Area,251133,251133,251650,517,697,505,192,128,206,334,-9
Bridgeport-Stamford-Norwalk CT 2010,2010,Metropolitan Statistical Area,916829,916828,919506,2678,2533,1512,1021,1227,462,1689,-32
Brownsville-Harlingen TX 2010,2010,Metropolitan Statistical Area,406220,406220,407672,1452,1868,598,1270,47,141,188,-6
Brunswick GA 2010,2010,Metropolitan Statistical Area,112370,112368,112574,206,371,250,121,25,69,94,-9
Buffalo-Cheektowaga-Niagara Falls NY 2010,2010,Metropolitan Statistical Area,1135509,1135541,1135342,-199,2914,2849,65,582,-772,-190,-74
Burlington NC 2010,2010,Metropolitan Statistical Area,151131,151241,151551,310,451,389,62,37,212,249,-1
Burlington-South Burlington VT 2010,2010,Metropolitan Statistical Area,211261,211262,211508,246,532,324,208,67,-12,55,-17
California-Lexington Park MD 2010,2010,Metropolitan Statistical Area,105151,105151,105740,589,348,200,148,65,357,422,19
Canton-Massillon OH 2010,2010,Metropolitan Statistical Area,404422,404420,404202,-218,1038,1035,3,62,-267,-205,-16
Cape Coral-Fort Myers FL 2010,2010,Metropolitan Statistical Area,618754,618754,620521,1767,1529,1468,61,577,1200,1777,-71
Cape Girardeau MO-IL 2010,2010,Metropolitan Statistical Area,96275,96275,96421,146,268,202,66,19,61,80,0
Carbondale-Marion IL 2010,2010,Metropolitan Statistical Area,126575,126580,126819,239,354,222,132,65,45,110,-3
Carson City NV 2010,2010,Metropolitan Statistical Area,55274,55274,55260,-14,146,189,-43,3,37,40,-11
Casper WY 2010,2010,Metropolitan Statistical Area,75450,75450,75466,16,258,186,72,10,-65,-55,-1
Cedar Rapids IA 2010,2010,Metropolitan Statistical Area,257940,257940,258360,420,849,449,400,62,-32,30,-10
Chambersburg-Waynesboro PA 2010,2010,Metropolitan Statistical Area,149618,149618,149908,290,474,291,183,37,75,112,-5
Champaign-Urbana IL 2010,2010,Metropolitan Statistical Area,231891,231889,232250,361,648,366,282,399,-304,95,-16
Charleston WV 2010,2010,Metropolitan Statistical Area,227078,227071,227000,-71,726,682,44,16,-106,-90,-25
Charleston-North Charleston SC 2010,2010,Metropolitan Statistical Area,664607,664643,667724,3081,2388,1155,1233,284,1489,1773,75
Charlotte-Concord-Gastonia NC-SC 2010,2010,Metropolitan Statistical Area,2217012,2217248,2223894,6646,7477,3834,3643,1187,1841,3028,-25
Charlottesville VA 2010,2010,Metropolitan Statistical Area,218705,218710,219076,366,632,478,154,195,28,223,-11
Chattanooga TN-GA 2010,2010,Metropolitan Statistical Area,528143,528145,529103,958,1468,1193,275,120,553,673,10
Cheyenne WY 2010,2010,Metropolitan Statistical Area,91738,91881,92199,318,289,234,55,46,212,258,5
Chicago-Naperville-Elgin IL-IN-WI 2010,2010,Metropolitan Statistical Area,9461105,9461537,9470069,8532,31106,16097,15009,4508,-10935,-6427,-50
Chicago-Naperville-Arlington Heights IL 2010,2010,Metropolitan Division,7262718,7263140,7269907,6767,24227,12241,11986,3952,-9074,-5122,-97
Elgin IL 2010,2010,Metropolitan Division,620429,620462,621139,677,2074,929,1145,115,-604,-489,21
Gary IN 2010,2010,Metropolitan Division,708070,708100,708305,205,2238,1642,596,63,-446,-383,-8
Lake County-Kenosha County IL-WI 2010,2010,Metropolitan Division,869888,869835,870718,883,2567,1285,1282,378,-811,-433,34
Chico CA 2010,2010,Metropolitan Statistical Area,220000,220000,219924,-76,576,526,50,57,-180,-123,-3
Cincinnati OH-KY-IN 2010,2010,Metropolitan Statistical Area,2114580,2114755,2117863,3108,6755,3989,2766,731,-339,392,-50
Clarksville TN-KY 2010,2010,Metropolitan Statistical Area,260625,260610,261814,1204,1304,467,837,289,55,344,23
Cleveland TN 2010,2010,Metropolitan Statistical Area,115788,115788,115965,177,332,245,87,20,73,93,-3
Cleveland-Elyria OH 2010,2010,Metropolitan Statistical Area,2077240,2077246,2075558,-1688,5797,5130,667,714,-3116,-2402,47
Coeur d'Alene ID 2010,2010,Metropolitan Statistical Area,138494,138494,138890,396,398,252,146,15,225,240,10
College Station-Bryan TX 2010,2010,Metropolitan Statistical Area,228660,228660,229478,818,766,326,440,326,63,389,-11
Colorado Springs CO 2010,2010,Metropolitan Statistical Area,645613,645611,650351,4740,2308,878,1430,427,2710,3137,173
Columbia MO 2010,2010,Metropolitan Statistical Area,162642,162642,163182,540,481,296,185,146,199,345,10
Columbia SC 2010,2010,Metropolitan Statistical Area,767598,767477,769661,2184,2419,1565,854,421,889,1310,20
Columbus GA-AL 2010,2010,Metropolitan Statistical Area,294865,295529,296454,925,1145,562,583,267,60,327,15
Columbus IN 2010,2010,Metropolitan Statistical Area,76794,76786,76848,62,250,206,44,64,-41,23,-5
Columbus OH 2010,2010,Metropolitan Statistical Area,1901974,1902015,1906177,4162,6478,3331,3147,1046,-2,1044,-29
Corpus Christi TX 2010,2010,Metropolitan Statistical Area,428185,428188,428026,-162,1455,983,472,166,-822,-656,22
Corvallis OR 2010,2010,Metropolitan Statistical Area,85579,85581,85531,-50,163,100,63,86,-209,-123,10
Crestview-Fort Walton Beach-Destin FL 2010,2010,Metropolitan Statistical Area,235865,235865,236006,141,750,469,281,228,-405,-177,37
Cumberland MD-WV 2010,2010,Metropolitan Statistical Area,103299,103299,103236,-63,253,286,-33,9,-33,-24,-6
Dallas-Fort Worth-Arlington TX 2010,2010,Metropolitan Statistical Area,6426214,6426210,6452725,26515,23955,8955,15000,4208,6981,11189,326
Dallas-Plano-Irving TX 2010,2010,Metropolitan Division,4230520,4230013,4248448,18435,15795,5614,10181,3233,4708,7941,313
Fort Worth-Arlington TX 2010,2010,Metropolitan Division,2195694,2196197,2204277,8080,8160,3341,4819,975,2273,3248,13
Dalton GA 2010,2010,Metropolitan Statistical Area,142227,142227,142317,90,491,229,262,11,-182,-171,-1
Danville IL 2010,2010,Metropolitan Statistical Area,81625,81625,81595,-30,259,164,95,6,-124,-118,-7
Daphne-Fairhope-Foley AL 2010,2010,Metropolitan Statistical Area,182265,182265,183216,951,548,537,11,67,851,918,22
Davenport-Moline-Rock Island IA-IL 2010,2010,Metropolitan Statistical Area,379690,379689,380241,552,1192,774,418,92,36,128,6
Dayton OH 2010,2010,Metropolitan Statistical Area,799232,799216,800245,1029,2394,1776,618,351,196,547,-136
Decatur AL 2010,2010,Metropolitan Statistical Area,153829,153825,153863,38,417,353,64,22,-32,-10,-16
Decatur IL 2010,2010,Metropolitan Statistical Area,110768,110768,110757,-11,334,248,86,23,-121,-98,1
Deltona-Daytona Beach-Ormond Beach FL 2010,2010,Metropolitan Statistical Area,590289,590293,590678,385,1390,1776,-386,212,598,810,-39
Denver-Aurora-Lakewood CO 2010,2010,Metropolitan Statistical Area,2543482,2543594,2554335,10741,8534,3888,4646,944,4919,5863,232
Des Moines-West Des Moines IA 2010,2010,Metropolitan Statistical Area,569633,569633,571883,2250,2048,989,1059,291,855,1146,45
Detroit-Warren-Dearborn MI 2010,2010,Metropolitan Statistical Area,4296250,4296313,4291176,-5137,12684,9528,3156,2023,-10763,-8740,447
Detroit-Dearborn-Livonia MI 2010,2010,Metropolitan Division,1820584,1820641,1815497,-5144,6244,4556,1688,732,-7859,-7127,295
Warren-Troy-Farmington Hills MI 2010,2010,Metropolitan Division,2475666,2475672,2475679,7,6440,4972,1468,1291,-2904,-1613,152
Dothan AL 2010,2010,Metropolitan Statistical Area,145639,145639,145867,228,436,411,25,7,198,205,-2
Dover DE 2010,2010,Metropolitan Statistical Area,162310,162344,162954,610,538,333,205,96,299,395,10
Dubuque IA 2010,2010,Metropolitan Statistical Area,93653,93653,93893,240,285,165,120,12,108,120,0
Duluth MN-WI 2010,2010,Metropolitan Statistical Area,279771,279771,279789,18,766,686,80,41,-95,-54,-8
Durham-Chapel Hill NC 2010,2010,Metropolitan Statistical Area,504357,506634,508063,1429,1632,848,784,513,135,648,-3
East Stroudsburg PA 2010,2010,Metropolitan Statistical Area,169842,169842,169940,98,408,345,63,40,-3,37,-2
Eau Claire WI 2010,2010,Metropolitan Statistical Area,161151,161390,161633,243,430,228,202,14,36,50,-9
El Centro CA 2010,2010,Metropolitan Statistical Area,174528,174528,174779,251,731,180,551,-15,-295,-310,10
Elizabethtown-Fort Knox KY 2010,2010,Metropolitan Statistical Area,148338,148339,149897,1558,499,358,141,170,1185,1355,62
Elkhart-Goshen IN 2010,2010,Metropolitan Statistical Area,197559,197561,197441,-120,709,319,390,28,-567,-539,29
Elmira NY 2010,2010,Metropolitan Statistical Area,88830,88830,88947,117,241,197,44,19,59,78,-5
El Paso TX 2010,2010,Metropolitan Statistical Area,804123,804123,807089,2966,3310,1134,2176,295,489,784,6
Erie PA 2010,2010,Metropolitan Statistical Area,280566,280566,280720,154,787,546,241,74,-141,-67,-20
Eugene OR 2010,2010,Metropolitan Statistical Area,351715,351715,351852,137,841,731,110,150,-110,40,-13
Evansville IN-KY 2010,2010,Metropolitan Statistical Area,311552,311552,311778,226,962,835,127,45,65,110,-11
Fairbanks AK 2010,2010,Metropolitan Statistical Area,97581,97581,98174,593,371,116,255,115,206,321,17
Fargo ND-MN 2010,2010,Metropolitan Statistical Area,208777,208777,209423,646,747,373,374,139,133,272,0
Farmington NM 2010,2010,Metropolitan Statistical Area,130044,130045,130155,110,476,200,276,6,-171,-165,-1
Fayetteville NC 2010,2010,Metropolitan Statistical Area,366383,366383,367727,1344,1732,594,1138,516,-365,151,55
Fayetteville-Springdale-Rogers AR-MO 2010,2010,Metropolitan Statistical Area,463204,463207,465699,2492,1662,726,936,303,1204,1507,49
Flagstaff AZ 2010,2010,Metropolitan Statistical Area,134421,134437,134603,166,451,163,288,33,-145,-112,-10
Flint MI 2010,2010,Metropolitan Statistical Area,425790,425790,424976,-814,1242,1104,138,62,-1064,-1002,50
Florence SC 2010,2010,Metropolitan Statistical Area,205566,205571,205713,142,642,483,159,31,-44,-13,-4
Florence-Muscle Shoals AL 2010,2010,Metropolitan Statistical Area,147137,147137,147231,94,373,356,17,25,57,82,-5
Fond du Lac WI 2010,2010,Metropolitan Statistical Area,101633,101633,101645,12,240,250,-10,14,27,41,-19
Fort Collins CO 2010,2010,Metropolitan Statistical Area,299630,299630,300484,854,814,488,326,63,477,540,-12
Fort Smith AR-OK 2010,2010,Metropolitan Statistical Area,280467,280515,280729,214,823,621,202,43,-18,25,-13
Fort Wayne IN 2010,2010,Metropolitan Statistical Area,416257,416255,416850,595,1505,688,817,189,-399,-210,-12
Fresno CA 2010,2010,Metropolitan Statistical Area,930450,930452,932642,2190,4086,1584,2502,326,-645,-319,7
Gadsden AL 2010,2010,Metropolitan Statistical Area,104430,104427,104501,74,320,288,32,11,40,51,-9
Gainesville FL 2010,2010,Metropolitan Statistical Area,264275,264274,264667,393,793,377,416,290,-333,-43,20
Gainesville GA 2010,2010,Metropolitan Statistical Area,179684,179684,180034,350,667,221,446,72,-163,-91,-5
Gettysburg PA 2010,2010,Metropolitan Statistical Area,101407,101413,101470,57,273,202,71,9,-22,-13,-1
Glens Falls NY 2010,2010,Metropolitan Statistical Area,128923,128921,128991,70,313,299,14,7,58,65,-9
Goldsboro NC 2010,2010,Metropolitan Statistical Area,122623,122623,122888,265,399,224,175,86,9,95,-5
Grand Forks ND-MN 2010,2010,Metropolitan Statistical Area,98461,98461,98605,144,335,195,140,62,-47,15,-11
Grand Island NE 2010,2010,Metropolitan Statistical Area,81850,81850,82043,193,275,156,119,75,7,82,-8
Grand Junction CO 2010,2010,Metropolitan Statistical Area,146723,146723,146485,-238,481,333,148,16,-415,-399,13
Grand Rapids-Wyoming MI 2010,2010,Metropolitan Statistical Area,988938,988940,989205,265,3211,1733,1478,299,-1565,-1266,53
Grants Pass OR 2010,2010,Metropolitan Statistical Area,82713,82713,82835,122,185,234,-49,4,165,169,2
Great Falls MT 2010,2010,Metropolitan Statistical Area,81327,81327,81506,179,284,231,53,58,65,123,3
Greeley CO 2010,2010,Metropolitan Statistical Area,252825,252837,254173,1336,955,366,589,44,656,700,47
Green Bay WI 2010,2010,Metropolitan Statistical Area,306241,306241,306712,471,999,518,481,80,-73,7,-17
Greensboro-High Point NC 2010,2010,Metropolitan Statistical Area,723801,723798,725040,1242,2083,1310,773,342,161,503,-34
Greenville NC 2010,2010,Metropolitan Statistical Area,168148,168148,168826,678,552,215,337,44,282,326,15
Greenville-Anderson-Mauldin SC 2010,2010,Metropolitan Statistical Area,824112,824107,825765,1658,2554,1651,903,322,422,744,11
Gulfport-Biloxi-Pascagoula MS 2010,2010,Metropolitan Statistical Area,370702,370787,371524,737,1261,924,337,212,171,383,17
Hagerstown-Martinsburg MD-WV 2010,2010,Metropolitan Statistical Area,251599,251602,252408,806,778,592,186,78,513,591,29
Hammond LA 2010,2010,Metropolitan Statistical Area,121097,121101,121572,471,475,198,277,25,160,185,9
Hanford-Corcoran CA 2010,2010,Metropolitan Statistical Area,152982,152982,152418,-564,627,227,400,98,-1135,-1037,73
Harrisburg-Carlisle PA 2010,2010,Metropolitan Statistical Area,549475,549473,550258,785,1609,1165,444,316,43,359,-18
Harrisonburg VA 2010,2010,Metropolitan Statistical Area,125228,125217,125426,209,359,214,145,96,-18,78,-14
Hartford-West Hartford-East Hartford CT 2010,2010,Metropolitan Statistical Area,1212381,1212387,1214021,1634,3027,2447,580,1060,53,1113,-59
Hattiesburg MS 2010,2010,Metropolitan Statistical Area,142842,142857,143336,479,513,297,216,30,235,265,-2
Hickory-Lenoir-Morganton NC 2010,2010,Metropolitan Statistical Area,365497,365492,365305,-187,1036,870,166,70,-398,-328,-25
Hilton Head Island-Bluffton-Beaufort SC 2010,2010,Metropolitan Statistical Area,187010,187010,187898,888,655,432,223,200,467,667,-2
Hinesville GA 2010,2010,Metropolitan Statistical Area,77917,77917,77365,-552,404,115,289,114,-1036,-922,81
Homosassa Springs FL 2010,2010,Metropolitan Statistical Area,141236,141236,141283,47,262,597,-335,21,362,383,-1
Hot Springs AR 2010,2010,Metropolitan Statistical Area,96024,96024,96156,132,298,369,-71,9,196,205,-2
Houma-Thibodaux LA 2010,2010,Metropolitan Statistical Area,208178,208176,208221,45,687,393,294,57,-303,-246,-3
Houston-The Woodlands-Sugar Land TX 2010,2010,Metropolitan Statistical Area,5920416,5920490,5949076,28586,23211,8322,14889,5995,7491,13486,211
Huntington-Ashland WV-KY-OH 2010,2010,Metropolitan Statistical Area,364908,364930,365170,240,1045,924,121,42,99,141,-22
Huntsville AL 2010,2010,Metropolitan Statistical Area,417593,417593,419418,1825,1309,758,551,159,1054,1213,61
Idaho Falls ID 2010,2010,Metropolitan Statistical Area,133265,133337,133791,454,632,180,452,9,-1,8,-6
Indianapolis-Carmel-Anderson IN 2010,2010,Metropolitan Statistical Area,1887877,1888082,1892508,4426,6556,3609,2947,940,485,1425,54
Iowa City IA 2010,2010,Metropolitan Statistical Area,152586,152586,152963,377,507,230,277,170,-65,105,-5
Ithaca NY 2010,2010,Metropolitan Statistical Area,101564,101595,101726,131,193,122,71,226,-167,59,1
Jackson MI 2010,2010,Metropolitan Statistical Area,160248,160248,160149,-99,463,421,42,25,-170,-145,4
Jackson MS 2010,2010,Metropolitan Statistical Area,567122,567645,568905,1260,1926,941,985,133,187,320,-45
Jackson TN 2010,2010,Metropolitan Statistical Area,130011,130009,130043,34,427,314,113,8,-78,-70,-9
Jacksonville FL 2010,2010,Metropolitan Statistical Area,1345596,1345596,1349137,3541,4313,2608,1705,854,981,1835,1
Jacksonville NC 2010,2010,Metropolitan Statistical Area,177772,177772,179563,1791,1003,158,845,529,375,904,42
Janesville-Beloit WI 2010,2010,Metropolitan Statistical Area,160331,160331,160230,-101,486,309,177,8,-285,-277,-1
Jefferson City MO 2010,2010,Metropolitan Statistical Area,149807,149807,149950,143,436,286,150,26,-21,5,-12
Johnson City TN 2010,2010,Metropolitan Statistical Area,198716,198716,198976,260,517,478,39,15,215,230,-9
Johnstown PA 2010,2010,Metropolitan Statistical Area,143679,143674,143444,-230,352,489,-137,12,-95,-83,-10
Jonesboro AR 2010,2010,Metropolitan Statistical Area,121026,121026,121270,244,420,287,133,26,81,107,4
Joplin MO 2010,2010,Metropolitan Statistical Area,175518,175516,175922,406,653,414,239,36,142,178,-11
Kahului-Wailuku-Lahaina HI 2010,2010,Metropolitan Statistical Area,154924,154925,155072,147,488,264,224,153,-236,-83,6
Kalamazoo-Portage MI 2010,2010,Metropolitan Statistical Area,326589,326596,326920,324,1029,630,399,137,-209,-72,-3
Kankakee IL 2010,2010,Metropolitan Statistical Area,113449,113449,113462,13,384,299,85,16,-91,-75,3
Kansas City MO-KS 2010,2010,Metropolitan Statistical Area,2009342,2009338,2013651,4313,7031,3803,3228,720,431,1151,-66
Kennewick-Richland WA 2010,2010,Metropolitan Statistical Area,253340,253340,255578,2238,1017,378,639,55,1466,1521,78
Killeen-Temple TX 2010,2010,Metropolitan Statistical Area,405300,405298,408217,2919,1769,500,1269,641,931,1572,78
Kingsport-Bristol-Bristol TN-VA 2010,2010,Metropolitan Statistical Area,309544,309542,309584,42,805,863,-58,20,99,119,-19
Kingston NY 2010,2010,Metropolitan Statistical Area,182493,182494,182374,-120,407,416,-9,81,-188,-107,-4
Knoxville TN 2010,2010,Metropolitan Statistical Area,837571,837579,838687,1108,2262,1933,329,170,627,797,-18
Kokomo IN 2010,2010,Metropolitan Statistical Area,82752,82752,82766,14,260,173,87,17,-87,-70,-3
La Crosse-Onalaska WI-MN 2010,2010,Metropolitan Statistical Area,133665,133665,133856,191,373,261,112,30,58,88,-9
Lafayette LA 2010,2010,Metropolitan Statistical Area,466750,466750,467650,900,1624,743,881,161,-115,46,-27
Lafayette-West Lafayette IN 2010,2010,Metropolitan Statistical Area,201789,201789,202055,266,625,278,347,281,-369,-88,7
Lake Charles LA 2010,2010,Metropolitan Statistical Area,199607,199629,200069,440,682,517,165,48,240,288,-13
Lake Havasu City-Kingman AZ 2010,2010,Metropolitan Statistical Area,200186,200186,200380,194,517,570,-53,-6,264,258,-11
Lakeland-Winter Haven FL 2010,2010,Metropolitan Statistical Area,602095,602095,603359,1264,1931,1302,629,471,155,626,9
Lancaster PA 2010,2010,Metropolitan Statistical Area,519445,519448,520317,869,1683,1021,662,227,10,237,-30
Lansing-East Lansing MI 2010,2010,Metropolitan Statistical Area,464036,464032,464158,126,1223,764,459,436,-797,-361,28
Laredo TX 2010,2010,Metropolitan Statistical Area,250304,250304,251308,1004,1304,307,997,54,-44,10,-3
Las Cruces NM 2010,2010,Metropolitan Statistical Area,209233,209241,210237,996,790,397,393,-14,592,578,25
Las Vegas-Henderson-Paradise NV 2010,2010,Metropolitan Statistical Area,1951269,1951269,1953263,1994,6522,3286,3236,1321,-2617,-1296,54
Lawrence KS 2010,2010,Metropolitan Statistical Area,110826,110826,111296,470,346,119,227,133,103,236,7
Lawton OK 2010,2010,Metropolitan Statistical Area,130291,130291,131625,1334,573,217,356,175,752,927,51
Lebanon PA 2010,2010,Metropolitan Statistical Area,133568,133573,133728,155,424,381,43,54,72,126,-14
Lewiston ID-WA 2010,2010,Metropolitan Statistical Area,60888,60888,61018,130,152,129,23,11,95,106,1
Lewiston-Auburn ME 2010,2010,Metropolitan Statistical Area,107702,107702,107661,-41,325,251,74,21,-140,-119,4
Lexington-Fayette KY 2010,2010,Metropolitan Statistical Area,472099,472099,473402,1303,1471,835,636,255,407,662,5
Lima OH 2010,2010,Metropolitan Statistical Area,106331,106331,106364,33,300,218,82,15,-63,-48,-1
Lincoln NE 2010,2010,Metropolitan Statistical Area,302157,302157,302922,765,1036,437,599,185,-10,175,-9
Little Rock-North Little Rock-Conway AR 2010,2010,Metropolitan Statistical Area,699757,699799,702305,2506,2344,1555,789,254,1407,1661,56
Logan UT-ID 2010,2010,Metropolitan Statistical Area,125442,125442,126076,634,619,121,498,69,62,131,5
Longview TX 2010,2010,Metropolitan Statistical Area,214369,214378,214732,354,755,411,344,62,-42,20,-10
Longview WA 2010,2010,Metropolitan Statistical Area,102410,102410,102392,-18,274,296,-22,0,18,18,-14
Los Angeles-Long Beach-Anaheim CA 2010,2010,Metropolitan Statistical Area,12828837,12828933,12845311,16378,42693,18112,24581,12234,-20886,-8652,449
Anaheim-Santa Ana-Irvine CA 2010,2010,Metropolitan Division,3010232,3010269,3018080,7811,9572,4319,5253,2351,306,2657,-99
Los Angeles-Long Beach-Glendale CA 2010,2010,Metropolitan Division,9818605,9818664,9827231,8567,33121,13793,19328,9883,-21192,-11309,548
Louisville/Jefferson County KY-IN 2010,2010,Metropolitan Statistical Area,1235708,1235710,1237778,2068,3947,2768,1179,475,463,938,-49
Lubbock TX 2010,2010,Metropolitan Statistical Area,290805,290805,292152,1347,1077,541,536,92,676,768,43
Lynchburg VA 2010,2010,Metropolitan Statistical Area,252634,252656,253024,368,719,651,68,83,236,319,-19
Macon GA 2010,2010,Metropolitan Statistical Area,232293,232293,232307,14,837,609,228,41,-252,-211,-3
Madera CA 2010,2010,Metropolitan Statistical Area,150865,150865,151154,289,599,325,274,14,0,14,1
Madison WI 2010,2010,Metropolitan Statistical Area,605435,605437,606409,972,1780,1024,756,330,-75,255,-39
Manchester-Nashua NH 2010,2010,Metropolitan Statistical Area,400721,400721,400982,261,1102,632,470,228,-439,-211,2
Manhattan KS 2010,2010,Metropolitan Statistical Area,92719,92735,93344,609,395,104,291,192,122,314,4
Mankato-North Mankato MN 2010,2010,Metropolitan Statistical Area,96740,96740,96809,69,273,143,130,29,-90,-61,0
Mansfield OH 2010,2010,Metropolitan Statistical Area,124475,124475,124175,-300,312,329,-17,5,-300,-295,12
McAllen-Edinburg-Mission TX 2010,2010,Metropolitan Statistical Area,774769,774773,779194,4421,3833,908,2925,177,1274,1451,45
